titulo,precioUnitario,precioCantidad,stock,subCategoria,@imagen,precioOferta
Chimichurri Vanoli 1L x6 ,$2390,,,Aderezos,/img/Alimentos/aderezos/chimiVanoliGrande.png,
Edulcorante Sidiet Stevia x6 200ml,$1490,$8940,,Aderezos,/img/Alimentos/aderezos/edulcSidietStevia.png,
Edulcorante Sidiet x6 200ml,$1390,,,Aderezos,/img/Alimentos/aderezos/edulcSidiet.png,
Ketchup Campagnola Picante x250g,$1290,,,Aderezos,/img/Alimentos/aderezos/ketchupPic.png,
Ketchup Natura x250g ,$1349,,,Aderezos,/img/Alimentos/aderezos/ketchupNatura.png,
Kepchup Danica x250gr,$1219,,,Aderezos,/img/Alimentos/aderezos/ketchupDanica250.png,
Ketchup Danica 50g x24,$439,$10536,,Aderezos,/img/Alimentos/aderezos/ketchupDanica.png,
Mayonesa cada dia 12x250gr,$890,,,Aderezos,/img/Alimentos/aderezos/mayoCadaDia.png,
Mayo Natura x12 x250g ,$1490,$17880,,Aderezos,/img/Alimentos/aderezos/mayoNatura.png,
Mayo Natura x20 x125g,$650,$13000,,Aderezos,/img/Alimentos/aderezos/mayoNaturaChica.png,
Mostaza Danica 50g x24,$399,$9576,,Aderezos,/img/Alimentos/aderezos/mostazaDanica.png,
Mostaza Danica x12 x220g,$890,$10680,,Aderezos,/img/Alimentos/aderezos/mostazaDanicaMedia.png,
Mostaza Natura x250g,$990,,,Aderezos,/img/Alimentos/aderezos/mostaNatura250.png,
Vinagre Alcohol Dos Anclas x12 1L,$1390,,,Aderezos,/img/Alimentos/aderezos/vinagre2.png,
Batata 500g x12 dulcor,$1490,$17880,,Dulces,/img/Alimentos/dulces/batataDulcor.png,
Batata Serra x500g,$1490,,,Dulces,/img/Alimentos/dulces/batSerra.png,
Batata x5 Kg,$9990,,,Dulces,/img/Alimentos/dulces/batataSerra.png,
Dulce de leche 200g x24 Granja de Oro,$949,$22776,,Dulces,/img/Alimentos/dulces/ddlGranjaChico.png,
Dulce de leche Arrodul 400g,$1590,$19080,,Dulces,/img/Alimentos/dulces/ddlArrodul.png,
Dulce de leche Arrodul 250g,$949,,,Dulces,/img/Alimentos/dulces/ddlArrdodulC.png,
Dulce de Mani x50,$5190,,,Dulces,/img/Alimentos/dulces/dulceMani.png,
Leche Condensada x27,$2490,,,Dulces,/img/Alimentos/dulces/lecheCondTri.png,
Membrilo doña pupa x4kg ,$9490,,,Dulces,/img/Alimentos/dulces/membrilloPupa4kg.png,
Membrillo Emeth 500g x12 ,$1690,,,Dulces,/img/Alimentos/dulces/membrilloEmeth500g.png,
Membrillo Serra x500g,$1690,,,Dulces,/img/Alimentos/dulces/membSerra.png,
Mermeladas Aisol 420gr,$990,,,Dulces,/img/Alimentos/dulces/mermAisol.png,
Miel Chica x24,$840,$20160,,Dulces,/img/Alimentos/dulces/mielMisioneraChica.png,
Miel Grande x12 ,$1540,$18480,,Dulces,/img/Alimentos/dulces/mielMisioneraGrande.png,
Arveja Elio ,$589,,,Enlatados,/img/Alimentos/Enlatados/arvejaElio.png,
Atun aceite Sp,$1690,,,Enlatados,/img/Alimentos/Enlatados/atunAceiteSp.png,
Atun Natural Sp,$1690,,,Enlatados,/img/Alimentos/Enlatados/atunNaturalSp.png,
Merluza en aceite,$2990,,,Enlatados,/img/Alimentos/Enlatados/merluPennisi.png,
Jurel en Aceite ,$3790,,,Enlatados,/img/Alimentos/Enlatados/jurel.png,
Choclo cremoso ,$650,,,Enlatados,/img/Alimentos/Enlatados/ChocloCremRemo.png,
Choclo en grano,$1390,,,Enlatados,/img/Alimentos/Enlatados/chocloRemo.png,
Durazno en trozos x12,$2049,,,Enlatados,/img/Alimentos/Enlatados/duraznoTrozo.png,
Sardina San Remo Aceite,$1890,,,Enlatados,/img/Alimentos/Enlatados/sardiRemo.png,
Galletitas hipopo x30,$690,$20700,,Galletitas,/img/Alimentos/galletitas/hipopo.png,$600
Bizcochitos Saborizados,$1170,,,Galletitas,/img/Alimentos/galletitas/bizcoExqui.png,
Magdalena Aventura x12 ,$1629,,,Galletitas,/img/Alimentos/galletitas/madalenasDulceAven.png,
Magdalenas x20 unidades Yvette,$1129,$22580,,Otros,/img/Alimentos/otros/madalenasYvetteChip.png,
Tostadas Firenze,$1350,,,Galletitas,/img/Alimentos/galletitas/tostadas.png,
Pamela Rellenas,$750,,,Galletitas,/img/Alimentos/galletitas/pamelaRe.png,
Pamela Rellenas x3,$1690,,,Galletitas,/img/Alimentos/galletitas/pamelaRe3.png,
Chocopamela 170g,$1090,,,Galletitas,/img/Alimentos/galletitas/chocoPamela.png,
Pepa 180gr,$469,,,Galletitas,/img/Alimentos/galletitas/pepaAires.png,
Dale rellena Black 115gr caja x24,$749,,,Galletitas,/img/Alimentos/galletitas/daleBlack.png,
Dale rellena x81g caja x36,$390,$14040,,Galletitas,/img/Alimentos/galletitas/daleRell.png,
Dale Maria x3 caja x10,$1390,$13900,,Galletitas,/img/Alimentos/galletitas/gallDale3.png,
Dale Maria x1 caja x30,$489,$14670,,Galletitas,/img/Alimentos/galletitas/daleMaria1.png,
Salada pindy x3 caja x12,$815,$9780,,Galletitas,/img/Alimentos/galletitas/gallPindy.png,
Rex y Kesitas caja x16 ,$1690,,,Galletitas,/img/Alimentos/galletitas/rexKes.png,
Saladix en caja x6,$1390,,,Galletitas,/img/Alimentos/galletitas/saladixCaja.png,
Budin Bon Mase glaseado x12,$1000,,,Otros,/img/Alimentos/otros/budinBon.png,
Budines,$590,,,Otros,/img/Alimentos/otros/budines.png,$590
"Aceite Gerasoles x4,5L x4un",$10490,,,Otros,/img/Alimentos/otros/aceiteGerasoles.png,
Aceite Leira 900ml x15u,$2490,$37350,,Otros,/img/Alimentos/otros/aceiteLeira.png,
Jardinera Elio 240gr,$939,,,Otros,/img/Alimentos/Enlatados/jardineraElio.png,
Jardinera San Remo 300gr,$939,,,Otros,/img/Alimentos/Enlatados/jardiRemo.png,
Margarina x500g,$2390,,,Otros,/img/Alimentos/otros/margaDualis.png,
Esencia de Vainilla liquida 120cc x24,$869,,,Otros,/img/Alimentos/otros/vainiEmeth.png,
Baño de reposteria 150g,$2290,,,Otros,/img/Alimentos/otros/banoRep.png,
Esencia de vainilla liquida dauby,$1090,,,Otros,/img/Alimentos/otros/vainillaLiq.png,
Pepino Daserra brasilero ,$4490,,,Pickles,/img/Alimentos/pickles/pepinoDaserra.png,
Pure de tomates 18x205g huerta pulpa,$399,$7182,,Salsas,/img/Alimentos/salsas/pulpaTomateBaggio.png,
Pulpa de tomates San Remo 520g ,$729,,,Salsas,/img/Alimentos/salsas/pulpaRemo.png,
Tomate Tritu Gallardo x8,,$11582,,Salsas,/img/Alimentos/salsas/tomateGallardo.png,
Alimento Zimpi 15kg,,$13490,,Secos,/img/Alimentos/secos/zimpi.png,
Alimento Gato x9 1kg,$4190,,,Secos,/img/Alimentos/secos/alimentoGato.png,
Almidón x10,$1890,,,Secos,/img/Alimentos/secos/feculaRanchi.png,
Arroz San Javier 10x1kg,$1049,$10490,,Secos,/img/Alimentos/secos/arrozSanJavier.png,
Arroz San Javier 10x500 ,$559,$5590,,Secos,/img/Alimentos/secos/arrozSanJavier.png,
Arroz San Javier DC 10x1kg,$1349,$13490,,Secos,/img/Alimentos/secos/arrozSanJavierDoble.png,
Arroz Dos Hermanos 10x500gr,$690,$6900,,Secos,/img/Alimentos/secos/arroz2.png,
Arveja St 10x500 seca,$790,$7900,,Secos,/img/Alimentos/secos/arvejaSt.png,
Leche en Polvo cotapa,$5290,,,Secos,/img/Alimentos/secos/polvoCotapa.png,
Pure de papas instantaneo x100gr,$1349,,,Secos,/img/Alimentos/secos/pureNestle.png,
Bicarbonato Dumba 20g,$389,,,Secos,/img/Alimentos/secos/bicarbDumba.png,
Bizcochuelo Barbara Chocolate x10,$1890,,,Secos,/img/Alimentos/secos/bizcoBarbCho.png,
Bizcochuelo Barbara Sabores x10,$1590,,,Secos,/img/Alimentos/secos/bizcoBarbara.png,
Caldo maggi verduras x24,$7900,,,Secos,/img/Alimentos/secos/maggi24.png,
Caldo apti verduras brasilero x24,$7490,,,Secos,/img/Alimentos/secos/caldo24Ver.png,$6000
Caldo gallina Maggi x6,$950,,,Secos,/img/Alimentos/secos/caldoMaggi6.png,
Cafe Pocillo ,$1590,,,Secos,/img/Alimentos/secos/cafePocillo.png,
Cacao Zucoa 150g ,$1349,,,Secos,/img/Alimentos/secos/cacaoZucoa.png,
Te Negro La Hoja x20,$649,,,Secos,/img/Alimentos/secos/teHoja.png,
Te Boldo Nory X6,$1949,$11694,,Secos,/img/Alimentos/secos/teBoldo.png,
Mate cocido Hoja x20,$890,,,Secos,/img/Alimentos/secos/mateHoja.png,
Mate Cocido Nory X12,$890,$10680,,Secos,/img/Alimentos/secos/cocidoNory.png,
Granas de colores,$490,,,Secos,/img/Alimentos/secos/granas.png,
Chantilly saborizados dauby,$2450,,,Secos,/img/Alimentos/secos/chantillySabores.png,
Flan x120g,$1490,,,Secos,/img/Alimentos/otros/flanDauby.png,
Helado x100g,$1990,,,Secos,/img/Alimentos/secos/helado.png,
Crema pastelera,$1290,,,Secos,/img/Alimentos/secos/cremaPastelera.png,
Salsa blanca dos anclas x40g x20,$790,,,Secos,/img/Alimentos/secos/salsaBlanca2.png,
Oregano Dos Anclas 25gr,$890,,,Secos,/img/Alimentos/secos/oregano2.png,
Laurel triturado,$890,,,Secos,/img/Alimentos/secos/laurel2.png,
Ají Dos Anclas,$609,,,Secos,/img/Alimentos/secos/aji2.png,
Romero Dos Anclas 25g,$736,,,Secos,/img/Alimentos/secos/romero2.png,
Condimento para pizza Dos anclas 25gr,$890,,,Secos,/img/Alimentos/secos/adobo2.png,
Fideo al huevo Tagliatelle N2/N3 x10 ,$1290,$12900,,Secos,/img/Alimentos/secos/fideoBarletta.png,$1290
Fideo brasilero gallina,$550,,,Secos,/img/Alimentos/secos/fideoBraAma.png,$550
Fideos x500g surtidos x15,$490,,,Secos,/img/Alimentos/secos/fideos.png,$490
Fideo Tio Nico Económico x5kg,$6900,,,Secos,/img/Alimentos/secos/fideoEco.png,
Fideo Tio Nico x5kg spaghetti,$8490,,,Secos,/img/Alimentos/secos/fideoNico5Spa.png,$7718
Fideo Tio Nico guiseros x5kg ,$6849,,,Secos,/img/Alimentos/secos/fideoTioNicoGuisero.png,$6226
Fideo Tio Nico guiseros 12x500g ,$729,$8748,,Secos,/img/Alimentos/secos/fideoTioNico500.png,$662
Fideo Tio Nico spaghetti con espinaca x12 ,$1049,$12588,,Secos,/img/Alimentos/secos/fideoEspinaca.png,$953
Fideo Tio Nico Spaghetti x12,$729,$8748,,Secos,/img/Alimentos/secos/fideoNicoSpag500.png,$662
Fideo Nido con espinaca x12,$1190,,,Secos,/img/Alimentos/secos/nidoEspinaca.png,$1190
Fideo Nido spaghetti y cinta x500g,$990,$11880,,Secos,/img/Alimentos/secos/fideoNidoNico.png,$900
Gelatina 20gr Bom Gosto,$799,,,Secos,/img/Alimentos/secos/gelatinaBom.png,
Harina leudante san remo 10x1kg,$1190,$11900,,Secos,/img/Alimentos/secos/harinaRemoL.png,
Harina Blancaflor Leudante x15,$1690,,,Secos,/img/Alimentos/secos/harinaBlancaflorLeud.png,
Lenteja 20x400g,$1249,$24980,,Secos,/img/Alimentos/secos/lentejas.png,
Levadura sobre x10g 25x2 ,$479,$23950,,Secos,/img/Alimentos/secos/levadLevex.png,
Maizena Catini x20,$799,$15980,,Secos,/img/Alimentos/secos/maizenaCatini.png,
Polenta Barbara,$690,,,Secos,/img/Alimentos/secos/polentaBarbara.png,
Locro x1kg Catini x10,$1149,$11490,,Secos,/img/Alimentos/secos/locroCatini.png,
Poroto Mulato 10x400g ,$990,$9900,,Secos,/img/Alimentos/secos/porotoMulato.png,
Poroto Suelto 1kg,$1890,,,Secos,/img/Alimentos/secos/porotoSuelto.png,
Sal Fina Colosal x20 ,$595,$11900,,Secos,/img/Alimentos/secos/salFinaColosal.png,
Sal Isabela condimentada x20,$675,,,Secos,/img/Alimentos/secos/salIsabelaCond.png,
Sal Isabela fina x20,$324 50,$6490,,Secos,/img/Alimentos/secos/salIsabela.png,
Yerba Bosco 10x500g,$1299,$12990,,Secos,/img/Alimentos/secos/yerbaBosco.png,$1299
Yerba Bosco 10x1kg,$2590,$25900,,Secos,/img/Alimentos/secos/yerbaBosco.png,
Yerba Hierbas 500g posesiva x12 ,$1290,$15480,,Secos,/img/Alimentos/secos/yerbaPosesiva.png,
Yerba Mate Rojo 10x500g,$1199,$11990,,Secos,/img/Alimentos/secos/yerbaMr.png,
Yerba Mate Rojo x5un. 1kg,$2249,,,Secos,/img/Alimentos/secos/yerbaMr.png,
Yerba Mate Rojo x4un 2kg,$4179,$16716,,Secos,/img/Alimentos/secos/yerbaMr.png,
Yerba Primicia 10x500g ,$1349,$13490,,Secos,/img/Alimentos/secos/yerbaPrimi.png,
Yerba Primicia 8x1kg ,$2590,$20720,,Secos,/img/Alimentos/secos/yerbaPrimi.png,
Yerba Romance 10x500 tradicional ,$1590,$15900,,Secos,/img/Alimentos/secos/yerbaRomance.png,
Yerba Romance 10x1kg tradicional ,$2980,$29800,,Secos,/img/Alimentos/secos/yerbaRomance.png,
Yerba Romance suave 10x500g,$1749,$17490,,Secos,/img/Alimentos/secos/yerbaRomanceSuave.png,
Yerba Romance suave 10x1kg ,$3298,$32980,,Secos,/img/Alimentos/secos/yerbaRomanceSuave.png,
