titulo,precioUnitario,precioCantidad,stock,precioOferta,@imagen
Alcohol Tudoc 20x250g,$690,$13800,,,/img/Higiene/alcoholTudoc.png
Alcohol VIlla Iris 500ml,$1420,,,,/img/Higiene/alcoholIris.png
Agua Oxigenada 100cc,$790,,,,/img/Medicamentos/aguaOx.png
Bic 3 hojas x12,$1249,$14988,,,/img/Higiene/bic3.png
Bic 1 hoja x24,$469,$11256,,,/img/Higiene/bicSensitive.png
Prestobarba astra x24 2hojas,,$16776,,,/img/Higiene/prestoAstra.png
Xmart Rapi 2hojas x24,$399,$9576,,,/img/Higiene/xmart.png
"Tintura para el pelo 3-4-5-5,7-7,1-8,1",$2190,,,,/img/Higiene/coloracion.png
Crema Hinds 125ml x12 ,$2490,$29880,,,/img/Higiene/cremaHinds.png
Curitas,$450,,,,/img/Higiene/curitas.png
Enjuague Bucal 250ml,$2790,,,,/img/Higiene/enjuagueBucal500.png
Enjuague Bucal 500ml,$3890,,                                                                                ,,/img/Higiene/enjuagueBucal500.png
Esmalte Uñas,$1500,,,                              ,/img/Higiene/esmalte.png
Gel para el cabello x150ml,$1890,,,,/img/Higiene/gelAlgabo.png
Gomitas para el pelo,,$2590,,,/img/Higiene/gomitasPelo.png
Jabon Signo x3,$1490,,,,/img/Higiene/jabonSigno.png
Jabon Tocador Kenia x3 ,$1449,,,,/img/Higiene/jabonKenia.png
Jabon Io x80g ,$509,,,,/img/Higiene/jabonIo80.png
Jabón Liquido para manos Algabo repuesto,$1390,,,,/img/Higiene/jabonAlgabo.png
Dentrifico kolynos x70gr x12,$1490,,,,/img/Higiene/kolynos.png
Dentrifico Oral b x70g x12 ,$1390,,,,/img/Higiene/oralB.png
Dentrifico Close Up x12,$1390,,,,/img/Higiene/closeup.png
Manteca cacao x6 ,,$7140,,,/img/Higiene/mantecaCacao.png
Oleo Calcareo,$4490,,,,/img/Higiene/oleoCalcareo.png
Pañal Babysec x8 G-M-XXG,$2449,,,,/img/Higiene/babysec.png
Papel 12x100mts blanco,,$9490,,,/img/Higiene/papelx12.png
Papel 24x80m natural,,$10900,,,/img/Higiene/papelx24.png
Papel 24x80m danci ,$639,$15336,,,/img/Higiene/papelDanci.png
Papel New Pel 24x50m blanco ,$509,$12216,,,/img/Higiene/newpel.png
Papel gamuza 12x6 blanco ,$1790,$21480,,,/img/Higiene/papelGamu.png
Impulse aerosol mujer x12,$2190,,,,/img/Higiene/desodImpulse.png
Hisopos,$1490,,,,/img/Higiene/hisoposDismar.png
Desodorante Nivea Mujer,$2490,,,,/img/Higiene/niveaDry.png
Polyana aerosol Hombre x12 ,$2590,,,,/img/Higiene/polyanaMen.png
Polyana aerosol Mujer x12 ,$2590,,,,/img/Higiene/polyanaMujer.png
Rexona crema x12,$2149,,,,/img/Higiene/rexonaOdor.png
Preservativo M,$1490,,,,/img/Higiene/preserM.png
Quitaesmalte Chico,$1190,,,,/img/Higiene/quitaesmalte.png
Quitaesmalte Grande,$1690,,,,/img/Higiene/quitaesmalte.png
Repelente aerosol VN,$2900,,,,/img/Higiene/repelenteVn.png
Repelente Above 150ml,$4900,,,,/img/Higiene/repelenteAbove.png
Repelente Puff,$1849,,,,/img/Higiene/repelentePuff.png
Shampoo/Acondicionador  Vo5 x12,$2990,,,,/img/Higiene/shamAcondVo5.png
Shampoo Pantene 200ml x12,$2890,,,,/img/Higiene/shamPantene.png
Talco corporal algabo rosa,$1890,,,,/img/Higiene/talcoAlgabo.png
Talco pie Algabo Mujer x12,$1390,$16680,,,/img/Higiene/talcoAlgaboMujer.png
Talco Algabo pies x12 ,$1390,$16680,,,/img/Higiene/talcoAlgaboFoot.png
Pañuelos Descart. Cata x6,$1390,,,,/img/Higiene/panueloCata.png
Pañuelos Descart. Felpita,$1690,,,,/img/Higiene/panueloFelpita.png
Protector Carefree 20u  x60,$1290,$77400,,,/img/Higiene/protectorCarefree20.png
Protector Carefree 60u  x30,$2690,$80700,,,/img/Higiene/protectorCarefree60.png
Toallitas Always 8u  x16,$790,$12640,,,/img/Higiene/toallAlways.png
Toallitas She 8u,$599,,,,/img/Higiene/toaShe.png
Toallitas Calipso 16u  x25,$1490,,,,/img/Higiene/toallCalipso16.png
Toallitas Doncella x16 bolson x25,$1449,,,,/img/Higiene/donce16.png
Toallitas Nosotras 8u x30 ,$849,$25470,,,/img/Higiene/toallNosotras.png
Toallitas Siempre Libre 16u x24,$1649,$39576,,,/img/Higiene/toallSiempreL.png
Toallitas Siempre Libre Adapt 8u x48,$849,$40752,,,/img/Higiene/toallSiempreAdap.png
Toallitas Siempre Libre 32u  x12,$2990,$35880,,,/img/Higiene/toallSiempreL32.png
Toallitas Humedas bebes ,$1390,,,,/img/Higiene/toallHumedas.png
Tratamiento Capilar Hadibell ,$2949,,,,/img/Higiene/tratamientoHadibell3.png
Tratamiento capilar skala,$4490,,,,/img/Higiene/tratamientoCapilar.png
Tratamiento para cabello 20g,$969,,,,/img/Higiene/trataMary.png
Cepillo Infantil x12,$679,$8148,,,/img/Higiene/cepilloInfantil.png
