titulo,precioUnitario,precioCantidad,stock,precioOferta,@imagen
Alcohol Tudoc 20x250g,$690,$13800,,,/img/Higiene/alcoholTudoc.png
Alcohol VIlla Iris 500ml,$1420,,,,/img/Higiene/alcoholIris.png
Agua Oxigenada 100cc,$790,,,,/img/Medicamentos/aguaOx.png
Bic 3 hojas x12,$1249,$14988,,,/img/Higiene/bic3.png
Bic 1 hoja x24,$469,$11256,,,/img/Higiene/bicSensitive.png
Gillette prestobarba 3 hojas x10,,$12490,sin stock,,/img/Higiene/giilletePresto3.png
Geemillet 3hojas x24,$699,$16776,sin stock,,/img/Higiene/geemillet.png
Prestobarba astra x24 2hojas,,$16776,,,/img/Higiene/prestoAstra.png
Xmart Rapi 2hojas x24,$399,$9576,,,/img/Higiene/xmart.png
"Tintura para el pelo 3-4-5-5,7-7,1-8,1",$2190,,,,/img/Higiene/coloracion.png
Crema Nivea 60ml lata,$2090,,sin stock,                                                 ,/img/Higiene/cremaNivea.png
Crema Hinds 125ml x12 ,$2490,$29880,,,/img/Higiene/cremaHinds.png
Crema Hinds 250ml ,$3590,,sin stock,,/img/Higiene/cremaHinds.png
Crema peinar lacio y rulos x12 ,$2090,,sin stock,,/img/Higiene/CremaPeinar.png
Curitas,$450,,,,/img/Higiene/curitas.png
Enjuague Bucal 250ml,$2790,,,,/img/Higiene/enjuagueBucal500.png
Enjuague Bucal 500ml,$3890,,                                                                                ,,/img/Higiene/enjuagueBucal500.png
Esponja para baño,$590,,sin stock,,/img/Higiene/esponjaKekosa.png
Esmalte Uñas,$1500,,,                              ,/img/Higiene/esmalte.png
Gel para el cabello x200ml ,$2190,,sin stock,,/img/Higiene/gelAlgabo.png
Gel para el cabello x150ml,$1890,,,,/img/Higiene/gelAlgabo.png
Gomitas para el pelo,,$2590,,,/img/Higiene/gomitasPelo.png
Jabon Argentino x3,$1149,,sin stock,,/img/Higiene/jabonArgentino.png
Jabon Signo x3,$1490,,,,/img/Higiene/jabonSigno.png
Jabon Tocador Kenia x3 ,$1449,,,,/img/Higiene/jabonKenia.png
Jabon tocador Io x3 ,$1149,,sin stock,,/img/Higiene/jabonIo3.png
Jabon Io x125g caja x60,$579,$34740,sin stock,,/img/Higiene/jabonIo.png
Jabon Io x80g ,$509,,,,/img/Higiene/jabonIo80.png
Jabon Nivea Cremoso 125g,$899,,sin stock,,/img/Higiene/jabonNiveaCrem.png
Jabon St tropez ,$690,,sin stock,,/img/Higiene/jabonLopez.png
Jabón Liquido para manos Algabo repuesto,$1390,,,,/img/Higiene/jabonAlgabo.png
Dentrifico Colgate 90g x12,$2090,,sin stock,,/img/Higiene/colgate.png
Dentrifico kolynos x50g x12 ,$1249,$14988,sin stock,,/img/Higiene/kolynos.png
Dentrifico kolynos x70gr x12,$1490,,,,/img/Higiene/kolynos.png
Dentrifico koylnos x90g x12,$1749,$20988,sin stock,,/img/Higiene/kolynos.png
Dentrifico Oral b x70g x12 ,$1390,,,,/img/Higiene/oralB.png
Dentrifico Close Up x12,$1390,,,,/img/Higiene/closeup.png
Manteca cacao x6 ,,$7140,,,/img/Higiene/mantecaCacao.png
Oleo Calcareo,$4490,,,,/img/Higiene/oleoCalcareo.png
Pañal Babysec x8 G-M-XXG,$2449,,,,/img/Higiene/babysec.png
Papel 12x100mts blanco,,$9490,,,/img/Higiene/papelx12.png
Papel 24x80m natural,,$10900,,,/img/Higiene/papelx24.png
Papel 24x80m Esplendo gris,$519,$12456,sin stock,,/img/Higiene/papelEsplendo.png
Papel 24x80m danci ,$639,$15336,,,/img/Higiene/papelDanci.png
Papel Bob 16x4 blanco ,$1219,$19504,sin stock,,/img/Higiene/papelBob.png
Papel Felpita 24u blanco ,,$9590,sin stock,,/img/Higiene/papelFelpita.png
Papel New Pel 24x50m blanco ,$509,$12216,,,/img/Higiene/newpel.png
Papel My Hogar 24x50m blanco ,,$12216,sin stock,,/img/Higiene/papelMyHogar.png
Papel gamuza 12x6 blanco ,$1790,$21480,,,/img/Higiene/papelGamu.png
Papel my hogar 12x6  gris ,$1690,$20280,sin stock,,/img/Higiene/papelMyHogar6.png
Papel Plumar 24x50 gris ,$399,$9576,sin stock,,/img/Higiene/papelPlumar.png
Impulse aerosol mujer x12,$2190,,,,/img/Higiene/desodImpulse.png
Nivea bolilla Hombre-Mujer x12,$1649,$19788,sin stock,,/img/Higiene/niveaBoli.png
Rexona Bolilla Invisible,$1949,,sin stock,,/img/Higiene/rexonaBoli.png
Hisopos,$1490,,,,/img/Higiene/hisoposDismar.png
Etiquet Men bolilla,$1749,,,,/img/Higiene/etiquet.png
Hinds Bolilla mujer x12  ,$1749,,sin stock,,/img/Higiene/hindsBolilla1.png
Desodorante Nivea Mujer,$2490,,,,/img/Higiene/niveaDry.png
Desodorante Axe hombre Dark,$2390,,sin stock,,/img/Higiene/axeDark.png
Desodorante Dove hombre ,$2390,,sin stock,,/img/Higiene/desodDoveH.png
Polyana aerosol Hombre x12 ,$2390,,sin stock,,/img/Higiene/polyanaMen.png
Polyana aerosol Mujer x12 ,$2390,,,,/img/Higiene/polyanaMujer.png
Rexona crema x12,$2149,,,,/img/Higiene/rexonaOdor.png
Preservativo M,$1490,,,,/img/Higiene/preserM.png
Preservativo Tulipan,$1429,$22864,sin stock,,/img/Higiene/preserTulip.png
Quitaesmalte Chico,$1190,,,,/img/Higiene/quitaesmalte.png
Quitaesmalte Grande,$1690,,,,/img/Higiene/quitaesmalte.png
Repelente aerosol VN,$2900,,,,/img/Higiene/repelenteVn.png
Repelente Above 150ml,$4900,,,,/img/Higiene/repelenteAbove.png
Repelente Puff,$1849,,,,/img/Higiene/repelentePuff.png
Shampoo Acondicionador Hadibell x12 ,$2090,,,,/img/Higiene/shamAcondHadibell.png
Shampoo Plusbelle,$2950,,sin stock,,/img/Higiene/shamAcondPlus.png
Acondicionador Polyana x12 ,$2090,$25080,,,/img/Higiene/shamAcondPolyana.png
Shampoo Head & Shoulders x180ml,$3190,,sin stock,,/img/Higiene/head.png
Shampoo Sedal x12 190ml,$2290,,sin stock,,/img/Higiene/shampooSedal.png
Sedal Acond/Shampoo x300ml,$2690,,sin stock,,/img/Higiene/shamAconSedal.png
Shampoo Vo5 x12,$2990,,,,/img/Higiene/shamAcondVo5.png
Shampoo Pantene 200ml x12,$2890,,,,/img/Higiene/shamPantene.png
Talco corporal algabo rosa,$1890,,,,/img/Higiene/talcoAlgabo.png
Talco pie Algabo Mujer x12,$1390,$16680,,,/img/Higiene/talcoAlgaboMujer.png
Talco Algabo pies x12 ,$1390,$16680,,,/img/Higiene/talcoAlgaboFoot.png
Talco Algabo Ultra pies x12 ,$1690,$20280,sin stock,,/img/Higiene/talcoAlgaboUltra.png
Pañuelos Descart. Cata x6,$1390,,,,/img/Higiene/panueloCata.png
Pañuelos Descart. Felpita,$1690,,,,/img/Higiene/panueloFelpita.png
Protector Nosotras x20u,$890,,sin stock,,/img/Higiene/protectorNosotras20.png
Protector Carefree 20u  x60,$1290,$77400,,,/img/Higiene/protectorCarefree20.png
Protector Carefree 60u  x30,$2690,$80700,,,/img/Higiene/protectorCarefree60.png
Protector Calipso 20u,$799,,sin stock,,/img/Higiene/protectorCalipso.png
Toallitas Always 8u  x16,$790,$12640,,,/img/Higiene/toallAlways.png
Toallitas  Always Xtra 8u  x16 ,$1490,$23840,sin stock,,/img/Higiene/toallAlwExtra.png
Toallitas She 8u,$599,,,,/img/Higiene/toaShe.png
Toallitas Calipso 8u  x50,$729,$36450,,,/img/Higiene/toallCalipso.png
Toallitas Calipso 16u  x25,$1490,,,,/img/Higiene/toallCalipso16.png
Toallitas Doncella 8u  x50 ,$699,$34950,,,/img/Higiene/toallDonceNorm.png
Toallitas Doncella x16 bolson x25,$1449,,,,/img/Higiene/donce16.png
Toallitas Donce Nocturna 8u x50,$990,$49500,sin stock,,/img/Higiene/toallDonce.png
Toallitas Doncella Nocturna 16u x25,$2190,$54750,sin stock,,/img/Higiene/toallDonce16.png
Toallitas Ladysoft 8u x54,$639,$34506,sin stock,,/img/Higiene/toallLadyNorm.png
Toallitas Nosotras 8u x30 ,$849,$25470,,,/img/Higiene/toallNosotras.png
Toallitas Siempre Libre 16u x24,$1649,$39576,,,/img/Higiene/toallSiempreL.png
